area_key,area_vendor,report_year,report_total_sold,lb_total_sold,total_sold_match,report_days_on_market,lb_days_on_market,days_on_market_match,report_median_sale,lb_median_sale,median_sale_match,report_avg_list,lb_avg_list,avg_list_match,report_avg_sale,lb_avg_sale,avg_sale_match,report_list_ratio,lb_list_ratio,list_ratio_match,area_boundary_id,area_subtype,report_quarter
Monterey-Monterey Peninsula-Marina,,2021,56.0,,,29.0,,,1162500.0,,,1310661.0,,,1289382.0,,,,,,5af87ee397c60e236c14c59b,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Monterey / Salinas Highway,,2018,38.0,,,56.0,,,832000.0,,,1058268.0,,,1004105.0,,,,,,61c9fa76335076000946a431,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Monterey / Salinas Highway,,2019,42.0,,,66.0,,,831000.0,,,932402.0,,,869845.0,,,,,,61c9fa76335076000946a431,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Monterey / Salinas Highway,,2020,88.0,,,46.0,,,1060000.0,,,1295611.0,,,1242147.0,,,,,,61c9fa76335076000946a431,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Monterey / Salinas Highway,,2021,50.0,,,43.0,,,1282500.0,,,1671240.0,,,1612027.0,,,,,,61c9fa76335076000946a431,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Pacific Grove,,2018,40.0,,,56.0,,,950000.0,,,1284311.0,,,1203034.0,,,,,,5be62215fc1f295d61256524,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Pacific Grove,,2019,48.0,,,62.0,,,1087250.0,,,1268004.0,,,1202497.0,,,,,,5be62215fc1f295d61256524,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Pacific Grove,,2020,63.0,,,44.0,,,1108000.0,,,1328492.0,,,1301476.0,,,,,,5be62215fc1f295d61256524,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Pacific Grove,,2021,44.0,,,29.0,,,1300000.0,,,1681134.0,,,1602634.0,,,,,,5be62215fc1f295d61256524,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Pebble Beach,,2018,26.0,,,139.0,,,1496950.0,,,2093442.0,,,1843958.0,,,,,,5e760158203b81749b82f32c,SingleFamilyResidence,4
